combo,layers,hidden,lr,weight_decay,mean_val,std_val,fold_best_vals
L2_H128_lr0.001_wd0.0005,2,128,0.001,0.0005,0.6214596949891068,0.016799007309966134,"[0.6421568627450981, 0.601010101010101, 0.6212121212121212]"
L2_H128_lr0.0005_wd0.0005,2,128,0.0005,0.0005,0.5985343632402457,0.014363717633095152,"[0.5784313725490197, 0.6060606060606061, 0.6111111111111112]"
L4_H128_lr0.001_wd0.0005,4,128,0.001,0.0005,0.5815012873836403,0.018575887953755525,"[0.5980392156862745, 0.5555555555555556, 0.5909090909090909]"
L4_H128_lr0.0005_wd0.0005,4,128,0.0005,0.0005,0.5937314319667261,0.04182042153051564,"[0.553921568627451, 0.6515151515151515, 0.5757575757575758]"
L6_H128_lr0.001_wd0.0005,6,128,0.001,0.0005,0.5680332739156269,0.025661066769927826,"[0.5980392156862745, 0.5707070707070707, 0.5353535353535354]"
L6_H128_lr0.0005_wd0.0005,6,128,0.0005,0.0005,0.5932362844127549,0.0159813811019587,"[0.6029411764705882, 0.5707070707070707, 0.6060606060606061]"
